acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,92221.09,0,bank,Emily,Blair,48764 Howard Forge Apt. 421,Vanessaside,PA,US,19763,Female,2021-09-19,701-43-7736,120.547683,-62.968225
1,C_1,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,87897.72,0,bank,Dana,Nguyen,387 Grimes Green Apt. 801,Pagetown,NM,US,44165,Female,1914-07-16,196-73-3633,-51.894050,-51.749453
2,C_2,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,71028.58,0,bank,Anna,Yates,15871 Arnold Squares Apt. 858,Port Carrie,LA,US,58826,Female,1949-02-12,590-31-4757,-81.286230,-39.160654
3,C_3,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,62945.84,0,bank,Melinda,Massey,471 Erika Curve,North Megan,UT,US,71358,Female,1977-05-12,283-67-3859,-64.464688,68.323549
4,C_4,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,75563.74,0,bank,Daniel,Norton,477 Miller Ridge Apt. 795,East Allen,DE,US,92950,Male,1951-03-24,437-08-1649,-101.424385,-31.273420
5,C_5,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,70246.71,0,bank,Karen,Acosta,13991 Davis Village,North Catherineborough,VT,US,16740,Female,1914-04-13,696-03-8917,48.502370,76.5910375
6,C_6,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,89189.93,0,bank,Christopher,Chambers,31456 Bruce Mountain Apt. 916,West Michael,NJ,US,75181,Male,2010-05-28,060-87-2593,-93.051569,1.888823
7,C_7,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,65165.64,0,bank,Christian,Vazquez,720 Maldonado Port,Deborahfurt,TN,US,33391,Male,1968-04-18,760-11-5504,-155.466882,56.1146525
8,C_8,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,73829.85,0,bank,Melissa,Moore,5945 Jennifer Loaf,Pooleland,PA,US,25707,Female,1936-05-01,653-58-6204,125.023969,21.2413705
9,C_9,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,79169.10,0,bank,Robert,Golden,027 Jonathon Estate Suite 878,North Troyport,NH,US,07035,Male,2016-07-15,426-25-8988,159.886936,-67.594485
10,C_10,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95405.64,0,bank,Michael,White,66503 Jennifer Alley,East Davidborough,ME,US,37198,Male,1970-09-12,875-51-1333,-168.271786,-16.257066
11,C_11,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,75234.34,0,bank,Brittany,Cook,559 Meghan Squares Suite 765,East Nicholas,AL,US,18648,Female,2013-06-08,377-92-1536,1.599791,76.574431
12,C_12,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,64091.89,0,bank,Ariana,Kerr,29456 Kelly Neck Apt. 042,West Richardmouth,MT,US,14742,Female,1970-06-24,346-44-2037,77.207619,-58.859323
13,C_13,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,87790.21,0,bank,Kelly,West,45229 Drake Route Apt. 113,North Paul,MO,US,73439,Female,1972-06-20,808-75-3560,47.116838,-67.5418185
14,C_14,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,80918.45,0,bank,Loretta,Garcia,263 Wilson View Apt. 873,South Raymondborough,AZ,US,28798,Female,1968-05-10,388-47-8953,-98.752978,-61.882385
15,C_15,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,62525.32,0,bank,Lindsey,Moore,930 Thornton Summit,Lisaton,FL,US,34171,Female,1957-07-20,597-38-7708,-144.373713,-67.278782
16,C_16,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95487.31,0,bank,Steven,Shaw,32040 Rivera Estates,Port Diana,NY,US,50600,Male,1984-01-27,093-87-8487,142.198934,-69.502778
17,C_17,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,99139.27,0,bank,Dawn,Jones,8967 Lawson Fort,Lake Nicoleburgh,NY,US,75246,Female,1941-08-17,845-39-6686,26.244182,12.993162
18,C_18,I,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,90510.86,0,bank,Julie,Ellis,45007 Thomas Way,Lake Hollystad,AZ,US,80687,Female,1919-10-12,483-20-0332,-162.570237,70.605002
19,C_19,I,A,USD,true,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95108.30,0,bank,Thomas,Brennan,85367 Nicole Ridge Suite 951,Kristinaberg,MS,US,39010,Male,1998-08-27,830-16-8504,-78.462962,-79.749951
